mysitename,whc,lon,lat,elv,year_start,year_end,years_data,classid,elv_watch,elv_diff
AR-SLu,268.4240112,-66.4598,-33.4648,887.0,2009,2011,3,MF,887.0,0.0
AR-Vir,302.4275513,-56.1886,-28.2395,74.0,2009,2012,4,ENF,74.0,0.0
AT-Neu,270.0856323,11.3175,47.1167,970.0,2002,2012,11,GRA,1653.0,683.0
AU-Ade,269.2186584,131.1178,-13.0769,188.0,2007,2009,3,WSA,188.0,0.0
AU-ASM,214.5842743,133.249,-22.283,615.0,2010,2013,4,ENF,615.0,0.0
AU-Cpr,217.3112488,140.5891,-34.0021,51.0,2010,2014,5,SAV,51.0,0.0
AU-Cum,310.8674011,150.7225,-33.6133,107.0,2012,2014,3,EBF,107.0,0.0
AU-DaP,294.6303406,131.3181,-14.0633,160.0,2007,2013,7,GRA,160.0,0.0
AU-DaS,249.2509155,131.3881,-14.1593,160.0,2008,2014,7,SAV,160.0,0.0
AU-Dry,239.1561279,132.3706,-15.2588,204.0,2008,2014,7,SAV,204.0,0.0
AU-Emr,212.9327698,148.4746,-23.8587,220.0,2011,2013,3,GRA,220.0,0.0
AU-Fog,321.4286194,131.3072,-12.5452,90.0,2006,2008,3,WET,90.0,0.0
AU-Gin,194.4478455,115.7138,-31.3764,127.0,2011,2014,4,WSA,127.0,0.0
AU-GWW,183.3797455,120.6541,-30.1913,511.0,2013,2014,2,SAV,511.0,0.0
AU-How,307.5285645,131.1523,-12.4943,6.0,2001,2014,14,WSA,6.0,0.0
AU-Lox,248.4138031,140.6551,-34.4704,51.0,2008,2009,2,DBF,51.0,0.0
AU-RDF,290.0407715,132.4776,-14.5636,187.0,2011,2013,3,WSA,187.0,0.0
AU-Rig,251.4349823,145.5759,-36.6499,278.0,2011,2014,4,GRA,278.0,0.0
AU-Rob,265.1673584,145.6301,-17.1175,492.0,2014,2014,1,EBF,492.0,0.0
AU-Stp,283.4158936,133.3502,-17.1507,240.0,2008,2014,7,GRA,240.0,0.0
AU-TTE,217.1057587,133.64,-22.287,609.0,2012,2013,2,OSH,609.0,0.0
AU-Tum,248.4827576,148.1517,-35.6566,817.0,2001,2014,14,EBF,817.0,0.0
AU-Wac,163.752243,145.1878,-37.4259,309.0,2005,2008,4,EBF,309.0,0.0
AU-Whr,271.4973755,145.0294,-36.6732,164.0,2011,2014,4,EBF,164.0,0.0
AU-Wom,189.5709991,144.0944,-37.4222,705.0,2010,2012,3,EBF,437.0,-268.0
AU-Ync,199.1587524,146.2907,-34.9893,133.0,2012,2014,3,GRA,133.0,0.0
BE-Bra,85.68379974,4.5206,51.3092,16.0,1996,2014,19,MF,14.0,-2.0
BE-Lon,383.6510925,4.7461,50.5516,167.0,2004,2014,11,CRO,93.0,-74.0
BE-Vie,312.7651978,5.9981,50.3051,493.0,1996,2014,19,MF,415.0,-78.0
