"mysitename","successcode","NNallbad_prmse","NNallbad_rmse","NNallbad_rsq","NNallbad_ptoohi","NNallbad_pbias","NNgood_prmse","NNgood_rmse","NNgood_rsq","NNgood_ptoohi","NNgood_pbias","NNall_prmse","NNall_rmse","NNall_rsq","NNall_ptoohi","NNall_pbias","NNNN_prmse","NNNN_rmse","NNNN_rsq","NNNN_ptoohi","NNNN_pbias","successcode_save"
"AR-SLu",2,11.8976096804638,1.00385401851561,0.817015376252059,0.583333333333333,-0.033402017278738,18.2170153927689,1.34374446135051,0.803898227947169,0.507142857142857,0.0276023931139453,17.4925370713579,1.29532136446979,0.810880178249977,0.530092592592593,0.0439807722005617,4.09250784099284,0.307044720927382,0.991013352032385,0.70952380952381,0.0207834767690253,2
"AR-Vir",1,24.3274799968222,2.74498711973835,0.595092093575198,0.617424242424242,0.144788385799237,24.3139251947722,2.76042933521573,0.651886042364643,0.496629213483146,0.0647171437165508,24.5025903497618,2.77546537970092,0.613532345501825,0.53737658674189,0.0902611694954995,4.30393445416643,0.484167352504979,0.98538364685326,0.402247191011236,-0.00694455328326992,3
"AT-Neu",3,NA,NA,NA,NA,NA,46.3594336347174,3.43116996184603,0.54808579616458,0.503274087932647,0.281844860102578,45.2507257910263,3.3491119048018,0.569932219381767,0.501870907390084,0.265841196275251,6.93740931095006,0.695868665374896,0.971182849408403,0.565481758652947,0.00479726669932518,3
"AU-Ade",1,27.1351141744934,1.05541394738336,0.811626759797615,0.49468085106383,0.0578185831532804,12.5684203113574,0.943052364048329,0.790293585797218,0.509677419354839,0.0342863919438082,21.2500544200433,1.05068202664569,0.864151782850833,0.506591337099812,0.053340517212223,3.71376727326055,0.279386351779876,0.983656329266929,0.696774193548387,0.00883838692928822,1
"AU-ASM",1,62.8916922393333,0.267801242436351,0.578490730952566,0.701570680628272,3.68609956616589,79.886942340694,0.814249952425593,0.759710203701991,0.797507788161994,8.35233961737617,59.1412391220606,0.471871460634556,0.832909418940539,0.599609375,3.13296963173695,44.0253723593575,0.637898792915608,0.874268037530877,0.0545171339563863,-0.456113372774424,1
"AU-Cpr",3,72.7811901028205,0.576759423945699,0.094644702160894,0.702479338842975,1.66748176700647,34.9840669230985,0.542360202386333,0.610490825504729,0.446586345381526,1.03741808180413,35.2137189097056,0.52228148452391,0.654122014588828,0.464860907759883,0.924930952636938,14.842002110713,0.222380389405245,0.814042481625478,0.539759036144578,-0.0113363818737574,3
"AU-Cum",3,NA,NA,NA,NA,NA,26.928021337997,0.926757329078437,0.299518792919493,0.484438430311231,1.18092704433263,26.2610932886506,0.903804270257602,0.325139365615572,0.49255751014885,1.20447275605655,4.3272394089628,0.149338928804474,0.9630931863407,0.415426251691475,0.00787213996816657,3
"AU-DaP",1,69.0702421528051,1.36020684085989,0.661655266996739,0.560587515299878,4.02634455929516,20.8233416603395,1.68143812945469,0.727686681100748,0.508561643835616,7.17832717645664,34.0560894367868,1.53740876730899,0.857652821522132,0.536759457530335,3.88688214850242,6.56277606277695,0.529100799490077,0.977219053195978,0.520547945205479,-0.0284933954881414,1
"AU-DaS",1,31.6960881026251,1.17985321485166,0.52431765339807,0.532317073170732,0.152123271514052,25.4476960146838,1.59595652251404,0.3666301270751,0.5,0.0843586314536722,29.6570880787227,1.31037794794051,0.617855547136837,0.521719858156028,0.133841740357839,3.06973082449117,0.192533471259773,0.982998753752555,0.61038961038961,0.00141419299050413,1
"AU-Dry",1,29.3283107176585,0.783238285712944,0.740060638784243,0.517932489451477,2.31761117787617,39.670294004006,1.63335605926542,0.399296618346093,0.722650231124807,0.474158902556211,24.7641558201745,0.806945986741239,0.777095427080641,0.489041953663118,1.39039977789993,30.4834504730051,1.55558688439271,0.504305201814599,0.292758089368259,-0.216216310316477,3
"AU-Emr",3,NA,NA,NA,NA,NA,60.8460525884041,0.90921668951151,0.407959666962393,0.536,2.13653881609799,60.2343115272749,0.900075501894941,0.431384269911703,0.545333333333333,2.0810138094677,5.91860063042801,0.0857020420617448,0.969177788012121,0.449333333333333,-0.00418429961426104,3
"AU-Fog",1,41.9088056543715,0.684281349762484,0.581715772296575,0.554924242424242,0.534881587398154,34.5798048028542,1.21932493375596,0.462653109293268,0.625,0.14880415509236,37.5798657466079,0.89029797178301,0.674390120851622,0.564814814814815,0.359515103022188,12.5693064259903,0.485928727240353,0.921194662789709,0.342261904761905,-0.0482733086405487,1
"AU-Gin",1,23.2816676585812,0.690538887869515,0.673788673293347,0.602362204724409,0.119586343807093,18.7391957677699,0.693396867498013,0.706469016675964,0.490740740740741,0.0302679174742892,21.6544199712664,0.715343529900398,0.692456312227431,0.519148936170213,0.0683043020658151,9.50827872399875,0.348984270992341,0.911444804925938,0.451388888888889,-0.0211502556163818,1
"AU-GWW",3,24.719091006536,0.290934523510536,0.503911426369808,0.64,0.211344926461774,30.4995281056896,0.401794854091355,0.407837196411993,0.491493383742911,0.149813819163805,29.7173872917573,0.383515458436004,0.41764801690364,0.501529051987768,0.141457922183468,8.13905109278243,0.107900891677205,0.898419778650925,0.421550094517958,-0.0166101446630429,3
"AU-How",1,26.2036545104454,1.15178984226724,0.676277760706573,0.502640845070423,0.163803441245501,23.4844642909466,1.65067423938226,0.602160125793424,0.571256764882742,0.182649470709522,24.1496215947223,1.33025621660701,0.739716683637092,0.498348157560356,0.12844941243687,9.73001031383339,0.714170852576529,0.929267705152191,0.41250751653638,-0.0617004188350674,1
"AU-Lox",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AU-RDF",3,99.1407119426649,0.652678240321657,0.514996339184455,0.718954248366013,2.56570926970687,51.9272004736053,1.80593739957692,0.783207581477402,0.48014440433213,3.42995742031957,64.2906913479404,1.59094484008336,0.757177151102114,0.553488372093023,2.27885234293108,15.6754640932216,0.486074823018167,0.942890418714464,0.24187725631769,-0.147824162699381,3
"AU-Rig",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AU-Rob",3,21.0850929359285,1.2932667258978,0.483331177774856,0.875,0.182462770147465,19.3554240113405,1.20902026844974,0.529765416214473,0.478114478114478,0.0558089168230941,19.7367814712001,1.23019761903218,0.49878342746669,0.498516320474777,0.0681523950772479,3.02841927577794,0.187641769925256,0.984684105546824,0.451178451178451,-0.00307296278008561,3
"AU-Stp",1,63.9684932669307,0.758598742019745,0.679984518406619,0.557759626604434,3.30319915817993,41.6878071652744,1.14648965302286,0.604895788621768,0.588235294117647,4.46108815830322,47.6948503666509,0.825832702741002,0.726573460371772,0.560030395136778,2.42044910015924,24.8037939344856,0.734840293477448,0.72826071023799,0.518518518518518,-0.125470894193886,1
"AU-TTE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AU-Tum",3,31.333622493678,3.18282665456154,0.401599386376124,0.660377358490566,0.314125151329756,32.2921369294655,3.08567694937441,0.409163336330834,0.511153119092628,0.125267002196828,31.7691040675681,3.05942092154695,0.415604992394793,0.523702754644459,0.144344844045256,3.102764182815,0.343110120596628,0.987811248690863,0.397353497164461,-0.00824412522537789,3
"AU-Wac",3,NA,NA,NA,NA,NA,32.4759579310893,2.04706585339938,0.342372562355164,0.550125313283208,0.144486736778741,32.1868628100276,2.02476280747258,0.352932713145349,0.547794117647059,0.143238347489803,2.3305435125346,0.150068568070833,0.992343744028777,0.358395989974937,-0.00296092381890364,3
"AU-Whr",1,20.9253346359301,0.763521560906747,0.642460597769404,0.602919708029197,0.132001718239197,18.1059393591931,0.689830848298116,0.752223809275098,0.587765957446808,0.0393322192722262,20.5709088984625,0.762359425969635,0.639964619451173,0.544769085768143,0.0768108599216292,13.64834116414,0.533938199794341,0.906306090098651,0.154255319148936,-0.0591127270129447,1
"AU-Wom",2,NA,NA,NA,NA,NA,21.1462003475369,1.38123083880123,0.737553171805632,0.545670225385528,0.0801576143781101,20.9673259131318,1.37019691470478,0.736873876837984,0.537914691943128,0.0751548177904934,1.23761607314956,0.0853334632735019,0.999442652340669,0.322657176749703,-0.00416376386789392,2
"AU-Ync",1,70.0055893814472,0.329045211290559,0.320992042322516,0.552238805970149,1.07466927420971,24.7861545667323,0.528906939179116,0.854375482178756,0.408333333333333,0.166951986922865,43.9999615666715,0.434532763577808,0.846845308830379,0.512886597938144,0.774936390774381,11.1493513694512,0.230592317302974,0.947680801140182,0.375,-0.0299221540884797,1
"BE-Bra",2,NA,NA,NA,NA,NA,37.7747186804072,1.66596377613301,0.739268111683532,0.502839295854628,0.7924564478358,35.9622515742851,1.5850744189662,0.76432892865571,0.534355479840999,0.796276944073256,8.30186671549394,0.4019252935843,0.9842233359533,0.543725156161272,0.0205319863884149,2
"BE-Lon",3,NA,NA,NA,NA,NA,86.5689896761801,3.59894235759885,0.671547264040222,0.568009118541033,7.29866131728292,84.0572997006378,3.46968743085192,0.68138748218377,0.573447378207512,7.37518929523673,16.1856787695375,0.651831508469551,0.976172390048848,0.388677811550152,-0.00581033783608333,3
"BE-Vie",2,NA,NA,NA,NA,NA,32.4581132488752,1.6340904733046,0.794742813564135,0.526925485284909,0.0873859756102448,31.8853616564448,1.60137226232996,0.808636894070501,0.558547276142768,0.103836233272341,5.79537588763748,0.378227789854294,0.99169302529256,0.598309329993738,0.0192655556800997,2
"BR-Sa3",3,21.8354213891871,1.76395284169756,0.0313564084629995,0.611111111111111,0.10658469089631,28.5369260224537,2.58151114894986,0.0223570292915117,0.565698478561549,0.0906578553256076,26.146896377571,2.26586756754984,0.0382852754603247,0.575146935348447,0.0912204690967885,6.37566723776559,0.600695505812565,0.924400863297826,0.506224066390041,-0.0044024048327938,3
"CA-Man",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-NS7",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-Qfo",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-SF1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-SF2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CA-SF3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CH-Cha",3,36.8309632068127,3.32398120081701,0.352984890267666,0.581818181818182,0.380698830742498,48.0602486448167,3.39956943032265,0.506475943426553,0.502028985507246,0.906682554539366,47.0075280031825,3.39691654580895,0.489470552844742,0.50745501285347,0.847522175214317,2.29673831925653,0.209840256158859,0.996275195766138,0.607536231884058,-0.00114481546661184,3
"CH-Dav",3,193.956148485455,4.25709998077798,-0.0133777676141063,0.75,2.14070016068768,45.8345954176282,1.76438444131991,0.341361498606869,0.539783889980354,0.128032962465088,50.6871881271914,1.89944298589753,0.296033356300759,0.537878787878788,0.192974039685469,3.48544527038053,0.201389184810711,0.988694089178604,0.419941060903733,-0.0053630055255229,3
"CH-Fru",2,NA,NA,NA,NA,NA,36.7077119349385,2.51157865541306,0.70121576246815,0.46994848311391,0.249379129028019,36.0653307540625,2.44085114551647,0.718834333128779,0.478112563956794,0.263260333039003,5.11059735312562,0.440186751132955,0.987729991970993,0.452776187750429,0.014042593728992,2
"CH-Lae",2,NA,NA,NA,NA,NA,36.2240906627736,2.1382201058556,0.690633453807872,0.493833251110015,0.409443384133214,35.1572433184442,2.09613371807134,0.699729353398042,0.496135265700483,0.399049795895692,2.33041223617339,0.172447049007299,0.99753924153237,0.484459792797237,0.00018490240942066,2
"CH-Oe1",1,39.9692722232601,2.74868138642337,0.255651602456294,0.675324675324675,0.461772495726759,49.6621903912362,2.7543768137565,0.565595242151863,0.446220930232558,0.916727754959743,49.0090149872709,2.74250467995363,0.555728985634209,0.459738472126635,0.885916534542873,3.6754773010997,0.268535405027208,0.992913273371366,0.46875,-0.00162795531147933,1
"CH-Oe2",3,NA,NA,NA,NA,NA,85.9566745268803,3.6383609644503,0.450221092675926,0.533190578158458,2.33108826852495,79.6274229574112,3.36498982192921,0.525803959454008,0.54475374732334,2.28533194618955,24.0180910188165,1.22809848728967,0.860691231364267,0.40728051391863,0.0397837052597596,3
"CN-Cha",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"CN-Cng",2,NA,NA,NA,NA,NA,59.0186203118244,0.980414255740358,0.801746920277928,0.5328125,2.61800018416206,56.9058882374357,0.945317660236318,0.817098208306679,0.515625,2.79359693361783,5.88696331714355,0.151213032545154,0.995894016083337,0.3984375,0.00265762702750062,2
"CN-Dan",3,64.0070955858147,0.35819757753785,0.5980901080445,0.621848739495798,0.451195276120173,27.4935085180067,0.357549790611703,0.685407931026497,0.493243243243243,0.0238552088672212,40.6980220869785,0.362177818459834,0.809868724657962,0.52059925093633,0.199763591425804,4.58012922961471,0.107708797896756,0.979198883695679,0.283783783783784,-0.025041876659388,3
